,HCHO reading,Location,Current Date
0,1.919914652467399e-05,"Bibile, Monaragala",2019-01-01
1,1.919914652467399e-05,"Bibile, Monaragala",2019-01-02
2,2.811447935930284e-05,"Bibile, Monaragala",2019-01-03
3,3.747998184385943e-05,"Bibile, Monaragala",2019-01-04
4,-1.7982608793453114e-05,"Bibile, Monaragala",2019-01-05
5,0.0001457836896179,"Bibile, Monaragala",2019-01-06
6,2.8285908025465342e-05,"Bibile, Monaragala",2019-01-07
7,0.000142085016705,"Bibile, Monaragala",2019-01-08
8,0.000142085016705,"Bibile, Monaragala",2019-01-09
9,2.014587947072581e-05,"Bibile, Monaragala",2019-01-10
10,2.014587947072581e-05,"Bibile, Monaragala",2019-01-11
11,0.000158278766321,"Bibile, Monaragala",2019-01-12
12,9.952823849642218e-05,"Bibile, Monaragala",2019-01-13
13,9.952823849642218e-05,"Bibile, Monaragala",2019-01-14
14,9.952823849642218e-05,"Bibile, Monaragala",2019-01-15
15,7.484570960514249e-05,"Bibile, Monaragala",2019-01-16
16,7.736112226328797e-05,"Bibile, Monaragala",2019-01-17
17,3.9881410104076654e-05,"Bibile, Monaragala",2019-01-18
18,3.9881410104076654e-05,"Bibile, Monaragala",2019-01-19
19,0.0001891620203853,"Bibile, Monaragala",2019-01-20
20,0.0001159969926423,"Bibile, Monaragala",2019-01-21
21,0.0001413523623709,"Bibile, Monaragala",2019-01-22
22,7.165379525100222e-05,"Bibile, Monaragala",2019-01-23
23,-2.8553898678860067e-05,"Bibile, Monaragala",2019-01-24
24,-2.8553898678860067e-05,"Bibile, Monaragala",2019-01-25
25,0.000180567368996,"Bibile, Monaragala",2019-01-26
26,0.000180567368996,"Bibile, Monaragala",2019-01-27
27,9.113160086427456e-05,"Bibile, Monaragala",2019-01-28
28,7.241739856355372e-05,"Bibile, Monaragala",2019-01-29
29,4.098144742473462e-05,"Bibile, Monaragala",2019-01-30
30,4.098144742473462e-05,"Bibile, Monaragala",2019-01-31
31,5.186428352058307e-05,"Bibile, Monaragala",2019-02-01
32,1.051353380619686e-05,"Bibile, Monaragala",2019-02-02
33,1.051353380619686e-05,"Bibile, Monaragala",2019-02-03
34,1.051353380619686e-05,"Bibile, Monaragala",2019-02-04
35,1.051353380619686e-05,"Bibile, Monaragala",2019-02-05
36,1.051353380619686e-05,"Bibile, Monaragala",2019-02-06
37,4.076109671524861e-05,"Bibile, Monaragala",2019-02-07
38,7.59353421234044e-05,"Bibile, Monaragala",2019-02-08
39,7.34858268449358e-05,"Bibile, Monaragala",2019-02-09
40,7.34858268449358e-05,"Bibile, Monaragala",2019-02-10
41,1.0584419214865193e-05,"Bibile, Monaragala",2019-02-11
42,6.919795120446755e-05,"Bibile, Monaragala",2019-02-12
43,0.0001623480638954,"Bibile, Monaragala",2019-02-13
44,0.0001623480638954,"Bibile, Monaragala",2019-02-14
45,0.0001623480638954,"Bibile, Monaragala",2019-02-15
46,2.6644206895973665e-05,"Bibile, Monaragala",2019-02-16
47,0.0001362413198283,"Bibile, Monaragala",2019-02-17
48,5.895095797941796e-05,"Bibile, Monaragala",2019-02-18
49,7.990708924877695e-05,"Bibile, Monaragala",2019-02-19
50,8.647263683420719e-05,"Bibile, Monaragala",2019-02-20
51,6.580490440211678e-05,"Bibile, Monaragala",2019-02-21
52,0.0001173317679715,"Bibile, Monaragala",2019-02-22
53,0.0001372664223727,"Bibile, Monaragala",2019-02-23
54,0.0001183587731956,"Bibile, Monaragala",2019-02-24
55,-4.671209171647206e-05,"Bibile, Monaragala",2019-02-25
56,-4.671209171647206e-05,"Bibile, Monaragala",2019-02-26
57,0.0002015221799451,"Bibile, Monaragala",2019-02-27
