,HCHO reading,Location,Current Date
1826,5.803530712000793e-06,"Deniyaya, Matara",2019-01-01
1827,5.803530712000793e-06,"Deniyaya, Matara",2019-01-02
1828,0.0002362357772653,"Deniyaya, Matara",2019-01-03
1829,6.437245753953118e-05,"Deniyaya, Matara",2019-01-04
1830,5.349707092885017e-05,"Deniyaya, Matara",2019-01-05
1831,0.0001315594859189,"Deniyaya, Matara",2019-01-06
1832,6.269859896976347e-05,"Deniyaya, Matara",2019-01-07
1833,2.298263979970634e-05,"Deniyaya, Matara",2019-01-08
1834,7.190247186715247e-05,"Deniyaya, Matara",2019-01-09
1835,7.190247186715247e-05,"Deniyaya, Matara",2019-01-10
1836,0.0001542091441034,"Deniyaya, Matara",2019-01-11
1837,0.0001406986305217,"Deniyaya, Matara",2019-01-12
1838,7.187311712186784e-05,"Deniyaya, Matara",2019-01-13
1839,7.187311712186784e-05,"Deniyaya, Matara",2019-01-14
1840,7.187311712186784e-05,"Deniyaya, Matara",2019-01-15
1841,3.5053075407631695e-05,"Deniyaya, Matara",2019-01-16
1842,0.0001694853136055,"Deniyaya, Matara",2019-01-17
1845,6.0375266285424514e-05,"Deniyaya, Matara",2019-01-20
1846,-7.58294658224229e-05,"Deniyaya, Matara",2019-01-21
1847,3.363791867442001e-05,"Deniyaya, Matara",2019-01-22
1848,0.0001753175803488,"Deniyaya, Matara",2019-01-23
1849,5.2793313875356256e-05,"Deniyaya, Matara",2019-01-24
1850,0.0001586517467092,"Deniyaya, Matara",2019-01-25
1851,0.0001586517467092,"Deniyaya, Matara",2019-01-26
1852,0.0001586517467092,"Deniyaya, Matara",2019-01-27
1853,0.0001586517467092,"Deniyaya, Matara",2019-01-28
1854,0.0001037720817875,"Deniyaya, Matara",2019-01-29
1855,4.768084267461017e-05,"Deniyaya, Matara",2019-01-30
1856,4.768084267461017e-05,"Deniyaya, Matara",2019-01-31
1857,5.617168790830808e-05,"Deniyaya, Matara",2019-02-01
1858,-1.3768205917585874e-06,"Deniyaya, Matara",2019-02-02
1859,0.0001028843263981,"Deniyaya, Matara",2019-02-03
1860,0.000103548176412,"Deniyaya, Matara",2019-02-04
1861,8.412867361170815e-05,"Deniyaya, Matara",2019-02-05
1862,-2.009600759496182e-06,"Deniyaya, Matara",2019-02-06
1863,0.0001495798303155,"Deniyaya, Matara",2019-02-07
1864,0.0002421511611906,"Deniyaya, Matara",2019-02-08
1865,9.253276543587998e-05,"Deniyaya, Matara",2019-02-09
1866,9.253276543587998e-05,"Deniyaya, Matara",2019-02-10
1867,9.253276543587998e-05,"Deniyaya, Matara",2019-02-11
1868,0.0001574102690481,"Deniyaya, Matara",2019-02-12
1869,6.523994226828871e-05,"Deniyaya, Matara",2019-02-13
1870,-0.0001202388983189,"Deniyaya, Matara",2019-02-14
1871,8.038732615390482e-05,"Deniyaya, Matara",2019-02-15
1872,8.038732615390482e-05,"Deniyaya, Matara",2019-02-16
1874,0.0001293821304845,"Deniyaya, Matara",2019-02-18
1875,0.0001168615135118,"Deniyaya, Matara",2019-02-19
1876,8.337509543093406e-05,"Deniyaya, Matara",2019-02-20
1877,2.514510513135289e-05,"Deniyaya, Matara",2019-02-21
1878,0.0001425070075459,"Deniyaya, Matara",2019-02-22
1879,0.0001366694245436,"Deniyaya, Matara",2019-02-23
1880,0.0001627625602433,"Deniyaya, Matara",2019-02-24
1881,0.0001543677869547,"Deniyaya, Matara",2019-02-25
1882,0.0001663931743162,"Deniyaya, Matara",2019-02-26
1883,0.0001663931743162,"Deniyaya, Matara",2019-02-27
1884,0.0001663931743162,"Deniyaya, Matara",2019-02-28
1885,-2.715724766397789e-05,"Deniyaya, Matara",2019-03-01
1886,-2.715724766397789e-05,"Deniyaya, Matara",2019-03-02
1888,9.971738595225878e-05,"Deniyaya, Matara",2019-03-04
1889,9.971738595225878e-05,"Deniyaya, Matara",2019-03-05
1890,9.971738595225878e-05,"Deniyaya, Matara",2019-03-06
1891,0.0001356645928779,"Deniyaya, Matara",2019-03-07
1892,9.87355639618488e-05,"Deniyaya, Matara",2019-03-08
1893,5.646698909773664e-05,"Deniyaya, Matara",2019-03-09
1894,5.646698909773664e-05,"Deniyaya, Matara",2019-03-10
1895,0.0001590144307147,"Deniyaya, Matara",2019-03-11
1896,0.0001171489486397,"Deniyaya, Matara",2019-03-12
1897,0.0002678319367111,"Deniyaya, Matara",2019-03-13
1898,0.0002678319367111,"Deniyaya, Matara",2019-03-14
1899,0.0001973485736028,"Deniyaya, Matara",2019-03-15
1900,5.13548232774661e-05,"Deniyaya, Matara",2019-03-16
1901,4.457512841327116e-05,"Deniyaya, Matara",2019-03-17
1902,4.457512841327116e-05,"Deniyaya, Matara",2019-03-18
1903,0.0002551880668476,"Deniyaya, Matara",2019-03-19
1904,8.954724124801195e-05,"Deniyaya, Matara",2019-03-20
1905,0.0001081070493299,"Deniyaya, Matara",2019-03-21
1906,0.0001081070493299,"Deniyaya, Matara",2019-03-22
1907,0.0001883458499592,"Deniyaya, Matara",2019-03-23
1908,0.000171727504349,"Deniyaya, Matara",2019-03-24
1910,0.0001650504145461,"Deniyaya, Matara",2019-03-26
1911,0.0001789494366016,"Deniyaya, Matara",2019-03-27
1912,0.0001818030703527,"Deniyaya, Matara",2019-03-28
1913,4.044847087752865e-05,"Deniyaya, Matara",2019-03-29
1914,-3.0314153493748305e-05,"Deniyaya, Matara",2019-03-30
1915,0.0001046297780589,"Deniyaya, Matara",2019-03-31
1916,0.0001046297780589,"Deniyaya, Matara",2019-04-01
1917,8.128573946871756e-05,"Deniyaya, Matara",2019-04-02
1918,6.149668792726311e-05,"Deniyaya, Matara",2019-04-03
1919,9.296972991768896e-05,"Deniyaya, Matara",2019-04-04
1920,0.0001659114059293,"Deniyaya, Matara",2019-04-05
1921,0.0001659114059293,"Deniyaya, Matara",2019-04-06
1922,0.000143890350864,"Deniyaya, Matara",2019-04-07
1923,0.000143890350864,"Deniyaya, Matara",2019-04-08
1924,6.20313630194549e-05,"Deniyaya, Matara",2019-04-09
1925,6.20313630194549e-05,"Deniyaya, Matara",2019-04-10
1926,8.426213025813922e-05,"Deniyaya, Matara",2019-04-11
1927,0.0001655760267849,"Deniyaya, Matara",2019-04-12
1928,0.0002243445980376,"Deniyaya, Matara",2019-04-13
1929,0.0001076937462352,"Deniyaya, Matara",2019-04-14
1930,0.0001076937462352,"Deniyaya, Matara",2019-04-15
1931,0.0001076937462352,"Deniyaya, Matara",2019-04-16
1932,0.0001076937462352,"Deniyaya, Matara",2019-04-17
1933,0.0001076937462352,"Deniyaya, Matara",2019-04-18
1934,0.0001167011796496,"Deniyaya, Matara",2019-04-19
1935,0.0001167011796496,"Deniyaya, Matara",2019-04-20
1936,0.0001167011796496,"Deniyaya, Matara",2019-04-21
1937,0.0001167011796496,"Deniyaya, Matara",2019-04-22
1938,5.12579766773392e-05,"Deniyaya, Matara",2019-04-23
1939,0.0001783669821192,"Deniyaya, Matara",2019-04-24
1940,0.0001871501881396,"Deniyaya, Matara",2019-04-25
1941,0.0001871501881396,"Deniyaya, Matara",2019-04-26
1942,0.0001871501881396,"Deniyaya, Matara",2019-04-27
1943,0.0001871501881396,"Deniyaya, Matara",2019-04-28
1944,0.0001513876780742,"Deniyaya, Matara",2019-04-29
1945,0.0001513876780742,"Deniyaya, Matara",2019-04-30
1946,0.0001513876780742,"Deniyaya, Matara",2019-05-01
1947,5.434144155589335e-05,"Deniyaya, Matara",2019-05-02
1948,5.434144155589335e-05,"Deniyaya, Matara",2019-05-03
1949,5.434144155589335e-05,"Deniyaya, Matara",2019-05-04
1950,7.521904743490836e-05,"Deniyaya, Matara",2019-05-05
1951,6.477919130672735e-05,"Deniyaya, Matara",2019-05-06
1952,8.903688521043591e-05,"Deniyaya, Matara",2019-05-07
1953,0.0001266048084834,"Deniyaya, Matara",2019-05-08
1954,0.0001186255669854,"Deniyaya, Matara",2019-05-09
1955,8.904187787431491e-05,"Deniyaya, Matara",2019-05-10
1956,2.949114473778149e-05,"Deniyaya, Matara",2019-05-11
1957,4.16907598251222e-05,"Deniyaya, Matara",2019-05-12
1958,9.758382500903084e-05,"Deniyaya, Matara",2019-05-13
1959,9.758382500903084e-05,"Deniyaya, Matara",2019-05-14
1960,0.0001890657581933,"Deniyaya, Matara",2019-05-15
1961,0.0001197343556303,"Deniyaya, Matara",2019-05-16
1962,0.0001049880638621,"Deniyaya, Matara",2019-05-17
1963,9.658265808306529e-05,"Deniyaya, Matara",2019-05-18
1964,9.658265808306529e-05,"Deniyaya, Matara",2019-05-19
1965,1.0668271897884551e-05,"Deniyaya, Matara",2019-05-20
1967,8.360032868662833e-05,"Deniyaya, Matara",2019-05-22
1968,8.360032868662833e-05,"Deniyaya, Matara",2019-05-23
1969,8.360032868662833e-05,"Deniyaya, Matara",2019-05-24
1970,5.2382561264022686e-05,"Deniyaya, Matara",2019-05-25
1971,0.0001127015595865,"Deniyaya, Matara",2019-05-26
1972,0.000110648214343,"Deniyaya, Matara",2019-05-27
1973,0.0001113564054257,"Deniyaya, Matara",2019-05-28
1974,0.0001309619983658,"Deniyaya, Matara",2019-05-29
1975,0.0001309619983658,"Deniyaya, Matara",2019-05-30
1976,0.0001309619983658,"Deniyaya, Matara",2019-05-31
1977,7.860539060937241e-05,"Deniyaya, Matara",2019-06-01
1978,1.9475669421135317e-05,"Deniyaya, Matara",2019-06-02
1979,1.9475669421135317e-05,"Deniyaya, Matara",2019-06-03
1980,8.82573060809885e-05,"Deniyaya, Matara",2019-06-04
1981,8.82573060809885e-05,"Deniyaya, Matara",2019-06-05
1982,8.82573060809885e-05,"Deniyaya, Matara",2019-06-06
1983,8.82573060809885e-05,"Deniyaya, Matara",2019-06-07
1984,8.82573060809885e-05,"Deniyaya, Matara",2019-06-08
1985,8.82573060809885e-05,"Deniyaya, Matara",2019-06-09
1986,0.0002606536600287,"Deniyaya, Matara",2019-06-10
1987,0.0002606536600287,"Deniyaya, Matara",2019-06-11
1988,0.0001034896122957,"Deniyaya, Matara",2019-06-12
1989,0.0001034896122957,"Deniyaya, Matara",2019-06-13
1990,9.794863285570833e-05,"Deniyaya, Matara",2019-06-14
1991,9.794863285570833e-05,"Deniyaya, Matara",2019-06-15
1992,0.0001217725225117,"Deniyaya, Matara",2019-06-16
1993,-1.1336369400820557e-05,"Deniyaya, Matara",2019-06-17
1994,-1.1336369400820557e-05,"Deniyaya, Matara",2019-06-18
1995,3.626547253389472e-05,"Deniyaya, Matara",2019-06-19
1996,3.626547253389472e-05,"Deniyaya, Matara",2019-06-20
1997,3.066723729716614e-05,"Deniyaya, Matara",2019-06-21
1998,3.066723729716614e-05,"Deniyaya, Matara",2019-06-22
1999,3.066723729716614e-05,"Deniyaya, Matara",2019-06-23
2000,3.066723729716614e-05,"Deniyaya, Matara",2019-06-24
2001,3.066723729716614e-05,"Deniyaya, Matara",2019-06-25
2002,5.938476593081348e-05,"Deniyaya, Matara",2019-06-26
2003,0.0001501880620112,"Deniyaya, Matara",2019-06-27
2004,8.48560045610269e-08,"Deniyaya, Matara",2019-06-28
2005,1.8658707556202237e-05,"Deniyaya, Matara",2019-06-29
2006,8.076289701838124e-05,"Deniyaya, Matara",2019-06-30
2007,0.0001565128040965,"Deniyaya, Matara",2019-07-01
2008,7.822883224906507e-05,"Deniyaya, Matara",2019-07-02
2009,6.491148472259721e-05,"Deniyaya, Matara",2019-07-03
2010,6.491148472259721e-05,"Deniyaya, Matara",2019-07-04
2011,0.0001015658193247,"Deniyaya, Matara",2019-07-05
2012,0.0001854224783202,"Deniyaya, Matara",2019-07-06
2013,9.519535246307652e-05,"Deniyaya, Matara",2019-07-07
2014,0.000122118023414,"Deniyaya, Matara",2019-07-08
2015,3.5168823276630766e-05,"Deniyaya, Matara",2019-07-09
