,HCHO reading,Location,Current Date
3652,5.830909719406619e-05,Jaffna Proper,2019-01-01
3653,0.0001017952795536,Jaffna Proper,2019-01-02
3654,3.93133105404262e-05,Jaffna Proper,2019-01-03
3655,-2.3839846576184498e-06,Jaffna Proper,2019-01-04
3656,0.0001589137302293,Jaffna Proper,2019-01-05
3657,7.539679629744287e-05,Jaffna Proper,2019-01-06
3658,0.0001799237734955,Jaffna Proper,2019-01-07
3659,9.470708011674723e-05,Jaffna Proper,2019-01-08
3660,2.109364950895559e-06,Jaffna Proper,2019-01-09
3661,0.0001318967807501,Jaffna Proper,2019-01-10
3662,0.0001337016372402,Jaffna Proper,2019-01-11
3663,5.9570030841276426e-05,Jaffna Proper,2019-01-12
3664,-4.157867137825242e-05,Jaffna Proper,2019-01-13
3665,2.010835129084908e-05,Jaffna Proper,2019-01-14
3666,3.94847944175773e-05,Jaffna Proper,2019-01-15
3667,6.686277882732807e-05,Jaffna Proper,2019-01-16
3668,5.18184452543004e-05,Jaffna Proper,2019-01-17
3669,9.154995885051224e-05,Jaffna Proper,2019-01-18
3670,1.707625620314082e-05,Jaffna Proper,2019-01-19
3671,-5.2767861370760775e-05,Jaffna Proper,2019-01-20
3672,0.0001840677559424,Jaffna Proper,2019-01-21
3673,9.561663077100936e-05,Jaffna Proper,2019-01-22
3674,0.0001003762537841,Jaffna Proper,2019-01-23
3675,7.40591053869194e-05,Jaffna Proper,2019-01-24
3676,8.133567760369957e-05,Jaffna Proper,2019-01-25
3677,7.100806903845069e-05,Jaffna Proper,2019-01-26
3678,0.0001575832971284,Jaffna Proper,2019-01-27
3679,0.0001559252593195,Jaffna Proper,2019-01-28
3680,0.0001565067390967,Jaffna Proper,2019-01-29
3681,7.858827423877602e-05,Jaffna Proper,2019-01-30
3682,5.2357333762168965e-05,Jaffna Proper,2019-01-31
3683,3.92767249346337e-05,Jaffna Proper,2019-02-01
3684,4.13203491997759e-05,Jaffna Proper,2019-02-02
3685,7.24383640488506e-05,Jaffna Proper,2019-02-03
3686,2.390234104806981e-05,Jaffna Proper,2019-02-04
3687,2.390234104806981e-05,Jaffna Proper,2019-02-05
3688,2.390234104806981e-05,Jaffna Proper,2019-02-06
3689,0.0001053063940188,Jaffna Proper,2019-02-07
3690,0.0001589486283796,Jaffna Proper,2019-02-08
3691,8.587924520412733e-05,Jaffna Proper,2019-02-09
3692,0.0001535258003232,Jaffna Proper,2019-02-10
3693,3.2951201334642755e-05,Jaffna Proper,2019-02-11
3694,6.52509876969887e-05,Jaffna Proper,2019-02-12
3695,8.473493836064989e-05,Jaffna Proper,2019-02-13
3696,4.350650882572056e-05,Jaffna Proper,2019-02-14
3697,0.0001286444716494,Jaffna Proper,2019-02-15
3698,7.220437792754523e-05,Jaffna Proper,2019-02-16
3699,0.0001996613275805,Jaffna Proper,2019-02-17
3700,0.0001144786617752,Jaffna Proper,2019-02-18
3701,0.0001779951041252,Jaffna Proper,2019-02-19
3702,9.03136843347107e-05,Jaffna Proper,2019-02-20
3703,4.6319964771203575e-05,Jaffna Proper,2019-02-21
3704,5.7038448135490425e-05,Jaffna Proper,2019-02-22
3705,2.5419065214249614e-05,Jaffna Proper,2019-02-23
3706,0.000102055793893,Jaffna Proper,2019-02-24
3707,0.0001436022726529,Jaffna Proper,2019-02-25
3708,3.027809876520691e-05,Jaffna Proper,2019-02-26
3709,0.000135316916096,Jaffna Proper,2019-02-27
3710,0.0002099835616997,Jaffna Proper,2019-02-28
3711,5.449465816276849e-05,Jaffna Proper,2019-03-01
3712,5.449465816276849e-05,Jaffna Proper,2019-03-02
3713,9.6661204352337e-05,Jaffna Proper,2019-03-03
3714,9.596860819798644e-05,Jaffna Proper,2019-03-04
3715,0.00018282723756,Jaffna Proper,2019-03-05
3716,3.726789927856213e-05,Jaffna Proper,2019-03-06
3717,0.0001146398530123,Jaffna Proper,2019-03-07
3718,5.839432739258154e-05,Jaffna Proper,2019-03-08
3719,6.468785230596147e-05,Jaffna Proper,2019-03-09
3720,6.468785230596147e-05,Jaffna Proper,2019-03-10
3721,0.0001142912680418,Jaffna Proper,2019-03-11
3722,0.0001032588562612,Jaffna Proper,2019-03-12
3724,7.003770803236358e-05,Jaffna Proper,2019-03-14
3725,8.715531025828512e-05,Jaffna Proper,2019-03-15
3726,8.950293663013654e-05,Jaffna Proper,2019-03-16
3727,6.708069847282744e-05,Jaffna Proper,2019-03-17
3728,0.0001714661515889,Jaffna Proper,2019-03-18
3729,0.0001304222284758,Jaffna Proper,2019-03-19
3730,0.0001652603496458,Jaffna Proper,2019-03-20
3731,0.000180821650839,Jaffna Proper,2019-03-21
3732,0.0002143703475771,Jaffna Proper,2019-03-22
3733,0.0002253481504262,Jaffna Proper,2019-03-23
3734,0.0001116518290101,Jaffna Proper,2019-03-24
3735,4.007921997167454e-05,Jaffna Proper,2019-03-25
3736,0.0001347779002359,Jaffna Proper,2019-03-26
3737,0.0002521169772334,Jaffna Proper,2019-03-27
3738,0.0002015701569086,Jaffna Proper,2019-03-28
3739,0.0002447325820142,Jaffna Proper,2019-03-29
3740,0.0001173990094827,Jaffna Proper,2019-03-30
3741,0.0001473601799526,Jaffna Proper,2019-03-31
3743,0.0001675304375654,Jaffna Proper,2019-04-02
3744,0.0001195197556313,Jaffna Proper,2019-04-03
3745,9.381743861666426e-05,Jaffna Proper,2019-04-04
3746,0.000164986976009,Jaffna Proper,2019-04-05
3747,6.570327647421359e-05,Jaffna Proper,2019-04-06
3748,7.763430217102585e-05,Jaffna Proper,2019-04-07
3749,0.0001144722790134,Jaffna Proper,2019-04-08
3750,0.0001200443096818,Jaffna Proper,2019-04-09
3751,0.0001258257230518,Jaffna Proper,2019-04-10
3752,0.0001139869859016,Jaffna Proper,2019-04-11
3753,4.419480080409889e-05,Jaffna Proper,2019-04-12
3754,0.0002340769951976,Jaffna Proper,2019-04-13
3755,0.0001535071864358,Jaffna Proper,2019-04-14
3756,0.0001535071864358,Jaffna Proper,2019-04-15
3757,0.0001535071864358,Jaffna Proper,2019-04-16
3758,0.0001535071864358,Jaffna Proper,2019-04-17
3759,0.0001535071864358,Jaffna Proper,2019-04-18
3760,7.74113813114089e-05,Jaffna Proper,2019-04-19
3761,0.0001863054640125,Jaffna Proper,2019-04-20
3762,0.0001652940389907,Jaffna Proper,2019-04-21
3763,0.0001652940389907,Jaffna Proper,2019-04-22
3764,0.0001124862276603,Jaffna Proper,2019-04-23
3765,8.913878220229596e-05,Jaffna Proper,2019-04-24
3766,0.0002143694129051,Jaffna Proper,2019-04-25
3768,0.0002085683732311,Jaffna Proper,2019-04-27
3769,0.0001988965426281,Jaffna Proper,2019-04-28
3770,0.0001988965426281,Jaffna Proper,2019-04-29
3771,0.0001988965426281,Jaffna Proper,2019-04-30
3772,0.0001988965426281,Jaffna Proper,2019-05-01
3773,0.0002454874023507,Jaffna Proper,2019-05-02
3774,0.0001160287678308,Jaffna Proper,2019-05-03
3775,0.0002114881995743,Jaffna Proper,2019-05-04
3776,0.00016900388397,Jaffna Proper,2019-05-05
3777,1.702930427527027e-05,Jaffna Proper,2019-05-06
3778,7.570836612015874e-05,Jaffna Proper,2019-05-07
3779,0.0001174841341889,Jaffna Proper,2019-05-08
3780,0.000157735329769,Jaffna Proper,2019-05-09
3781,0.0001060651973052,Jaffna Proper,2019-05-10
3782,0.00014665342489,Jaffna Proper,2019-05-11
3783,7.439157444817701e-05,Jaffna Proper,2019-05-12
3784,0.0001995106278082,Jaffna Proper,2019-05-13
3785,0.000164325904366,Jaffna Proper,2019-05-14
3786,0.0001545511305832,Jaffna Proper,2019-05-15
3787,0.0001435340795952,Jaffna Proper,2019-05-16
3788,0.0001514099438506,Jaffna Proper,2019-05-17
3789,0.0001098419014792,Jaffna Proper,2019-05-18
3790,5.791861019252046e-05,Jaffna Proper,2019-05-19
3791,0.0001248362370031,Jaffna Proper,2019-05-20
3792,0.0001156197332824,Jaffna Proper,2019-05-21
3793,9.863870001507711e-05,Jaffna Proper,2019-05-22
3794,0.0001237593624613,Jaffna Proper,2019-05-23
3795,3.835235777056108e-05,Jaffna Proper,2019-05-24
3796,0.0001358998694667,Jaffna Proper,2019-05-25
3797,9.303622604040064e-05,Jaffna Proper,2019-05-26
