,HCHO reading,Location,Current Date
0,0.0001760713459877,Kandy Proper,2019-01-01
1,9.220391253917748e-05,Kandy Proper,2019-01-02
2,0.0001908681983853,Kandy Proper,2019-01-03
3,0.0001908681983853,Kandy Proper,2019-01-04
4,0.0001219517840206,Kandy Proper,2019-01-05
5,-6.514086129388805e-05,Kandy Proper,2019-01-06
6,0.0001632382063926,Kandy Proper,2019-01-07
7,-6.735205533914268e-05,Kandy Proper,2019-01-08
8,0.0001279693658243,Kandy Proper,2019-01-09
9,4.546048424126012e-05,Kandy Proper,2019-01-10
10,3.600074175192105e-05,Kandy Proper,2019-01-11
11,0.000128662969801,Kandy Proper,2019-01-12
12,9.63639634671553e-05,Kandy Proper,2019-01-13
13,9.63639634671553e-05,Kandy Proper,2019-01-14
14,9.63639634671553e-05,Kandy Proper,2019-01-15
15,0.0001200971278484,Kandy Proper,2019-01-16
16,0.0001200971278484,Kandy Proper,2019-01-17
17,-0.0001197246567136,Kandy Proper,2019-01-18
18,0.0002825263761529,Kandy Proper,2019-01-19
19,7.150631692646835e-05,Kandy Proper,2019-01-20
20,0.0002833741508232,Kandy Proper,2019-01-21
21,0.0002659407549829,Kandy Proper,2019-01-22
22,5.8649506506635245e-05,Kandy Proper,2019-01-23
23,-3.940558338151006e-06,Kandy Proper,2019-01-24
24,0.0001092931769982,Kandy Proper,2019-01-25
25,7.03689579655349e-05,Kandy Proper,2019-01-26
26,0.0001647056354631,Kandy Proper,2019-01-27
27,0.0001130180465294,Kandy Proper,2019-01-28
28,0.0001141272676955,Kandy Proper,2019-01-29
29,-3.000156427858255e-05,Kandy Proper,2019-01-30
30,1.5133123262338617e-05,Kandy Proper,2019-01-31
31,9.510527997488848e-05,Kandy Proper,2019-02-01
32,3.0694719505487384e-05,Kandy Proper,2019-02-02
33,3.521572625649498e-05,Kandy Proper,2019-02-03
34,3.521572625649498e-05,Kandy Proper,2019-02-04
35,3.521572625649498e-05,Kandy Proper,2019-02-05
36,3.521572625649498e-05,Kandy Proper,2019-02-06
37,0.000144733119523,Kandy Proper,2019-02-07
38,7.648542999350917e-05,Kandy Proper,2019-02-08
39,6.33983046513048e-05,Kandy Proper,2019-02-09
40,6.33983046513048e-05,Kandy Proper,2019-02-10
41,6.33983046513048e-05,Kandy Proper,2019-02-11
42,6.099527672631667e-05,Kandy Proper,2019-02-12
43,1.8666852257755813e-05,Kandy Proper,2019-02-13
44,1.8666852257755813e-05,Kandy Proper,2019-02-14
45,1.8666852257755813e-05,Kandy Proper,2019-02-15
46,0.0001525741076541,Kandy Proper,2019-02-16
47,0.0001525741076541,Kandy Proper,2019-02-17
48,0.0001316059809503,Kandy Proper,2019-02-18
49,5.400887798459826e-05,Kandy Proper,2019-02-19
50,3.130874441109665e-05,Kandy Proper,2019-02-20
51,-1.98339014766147e-06,Kandy Proper,2019-02-21
52,0.0001148911736891,Kandy Proper,2019-02-22
53,0.0002118789208893,Kandy Proper,2019-02-23
54,3.663116612296087e-05,Kandy Proper,2019-02-24
55,4.493778690247384e-05,Kandy Proper,2019-02-25
56,0.000113648535998,Kandy Proper,2019-02-26
57,0.000113648535998,Kandy Proper,2019-02-27
58,0.000113648535998,Kandy Proper,2019-02-28
59,0.000113648535998,Kandy Proper,2019-03-01
60,0.000113648535998,Kandy Proper,2019-03-02
61,0.0001120620195392,Kandy Proper,2019-03-03
62,0.0002530551243115,Kandy Proper,2019-03-04
63,0.0002326652722074,Kandy Proper,2019-03-05
64,0.0001284045619553,Kandy Proper,2019-03-06
65,0.0001646112972623,Kandy Proper,2019-03-07
66,0.000177511546709,Kandy Proper,2019-03-08
67,0.0001138036418406,Kandy Proper,2019-03-09
68,0.0001138036418406,Kandy Proper,2019-03-10
69,0.0001638923213232,Kandy Proper,2019-03-11
70,0.0001764080320851,Kandy Proper,2019-03-12
71,4.218809439496275e-05,Kandy Proper,2019-03-13
72,0.0001620084507506,Kandy Proper,2019-03-14
73,0.0001104143683767,Kandy Proper,2019-03-15
74,0.0001981838605184,Kandy Proper,2019-03-16
75,0.0001831507209264,Kandy Proper,2019-03-17
76,-4.018462979616311e-05,Kandy Proper,2019-03-18
77,0.0002067529282929,Kandy Proper,2019-03-19
78,0.0001473883183271,Kandy Proper,2019-03-20
79,0.0001790459257074,Kandy Proper,2019-03-21
80,0.0001790459257074,Kandy Proper,2019-03-22
81,0.0002471924438964,Kandy Proper,2019-03-23
82,0.0002471924438964,Kandy Proper,2019-03-24
83,0.000219244095107,Kandy Proper,2019-03-25
84,9.90805371426681e-05,Kandy Proper,2019-03-26
85,0.0002333027310032,Kandy Proper,2019-03-27
86,0.0002802419303598,Kandy Proper,2019-03-28
88,0.0001790145679855,Kandy Proper,2019-03-30
89,0.0002927234455484,Kandy Proper,2019-03-31
90,0.0003099209346141,Kandy Proper,2019-04-01
91,0.0001707946467973,Kandy Proper,2019-04-02
92,0.0002427714893424,Kandy Proper,2019-04-03
93,0.0002338054752107,Kandy Proper,2019-04-04
94,0.0001627528749175,Kandy Proper,2019-04-05
95,0.0001725198818631,Kandy Proper,2019-04-06
96,0.000270485470537,Kandy Proper,2019-04-07
97,0.0002632230681999,Kandy Proper,2019-04-08
98,0.0002203272160841,Kandy Proper,2019-04-09
99,0.0002119455363545,Kandy Proper,2019-04-10
100,0.0002119455363545,Kandy Proper,2019-04-11
101,0.0002119455363545,Kandy Proper,2019-04-12
102,8.435604480337817e-05,Kandy Proper,2019-04-13
103,0.0001367393922806,Kandy Proper,2019-04-14
104,0.0001367393922806,Kandy Proper,2019-04-15
105,0.0001367393922806,Kandy Proper,2019-04-16
106,0.0001367393922806,Kandy Proper,2019-04-17
107,0.0001367393922806,Kandy Proper,2019-04-18
108,0.0001502073732536,Kandy Proper,2019-04-19
110,0.0001330528287211,Kandy Proper,2019-04-21
111,0.0002652660056679,Kandy Proper,2019-04-22
112,0.0001897010952234,Kandy Proper,2019-04-23
113,0.000115200123351,Kandy Proper,2019-04-24
114,0.0001738814462858,Kandy Proper,2019-04-25
115,0.0001738814462858,Kandy Proper,2019-04-26
116,0.0001738814462858,Kandy Proper,2019-04-27
117,0.0001738814462858,Kandy Proper,2019-04-28
118,0.0002141238897929,Kandy Proper,2019-04-29
119,0.0002141238897929,Kandy Proper,2019-04-30
120,0.0002141238897929,Kandy Proper,2019-05-01
121,0.0002141238897929,Kandy Proper,2019-05-02
122,0.0002141238897929,Kandy Proper,2019-05-03
