,HCHO reading,Location,Current Date
1826,8.829725542537962e-05,Kurunegala Proper,2019-01-01
1827,0.0001370787402778,Kurunegala Proper,2019-01-02
1828,0.0001480085027113,Kurunegala Proper,2019-01-03
1829,-2.046379059735541e-06,Kurunegala Proper,2019-01-04
1830,0.0002489134742856,Kurunegala Proper,2019-01-05
1831,0.0001015583300177,Kurunegala Proper,2019-01-06
1832,0.000191905666819,Kurunegala Proper,2019-01-07
1833,0.0001215500456138,Kurunegala Proper,2019-01-08
1834,9.741700467262771e-05,Kurunegala Proper,2019-01-09
1835,0.0001130342628012,Kurunegala Proper,2019-01-10
1836,7.047632943988818e-05,Kurunegala Proper,2019-01-11
1837,0.0001691712548577,Kurunegala Proper,2019-01-12
1838,8.792493954777681e-05,Kurunegala Proper,2019-01-13
1839,8.792493954777681e-05,Kurunegala Proper,2019-01-14
1840,8.792493954777681e-05,Kurunegala Proper,2019-01-15
1841,6.834336052834083e-05,Kurunegala Proper,2019-01-16
1842,0.0001380624797849,Kurunegala Proper,2019-01-17
1843,0.0001738223309452,Kurunegala Proper,2019-01-18
1845,9.75617828184706e-05,Kurunegala Proper,2019-01-20
1846,0.0001959789194475,Kurunegala Proper,2019-01-21
1847,0.0002374446632005,Kurunegala Proper,2019-01-22
1848,0.0001623734482581,Kurunegala Proper,2019-01-23
1850,0.0001278521652785,Kurunegala Proper,2019-01-25
1851,0.0001660436439104,Kurunegala Proper,2019-01-26
1852,0.0001499965666254,Kurunegala Proper,2019-01-27
1853,0.0001080499254242,Kurunegala Proper,2019-01-28
1854,0.0001158141900096,Kurunegala Proper,2019-01-29
1855,0.0001113523173507,Kurunegala Proper,2019-01-30
1856,2.449285979142846e-05,Kurunegala Proper,2019-01-31
1857,0.0001926267275908,Kurunegala Proper,2019-02-01
1858,4.824408500716178e-05,Kurunegala Proper,2019-02-02
1859,-3.666930620912048e-05,Kurunegala Proper,2019-02-03
1860,0.0001913403998944,Kurunegala Proper,2019-02-04
1861,0.0001913403998944,Kurunegala Proper,2019-02-05
1862,0.0001913403998944,Kurunegala Proper,2019-02-06
1863,0.0002947662047032,Kurunegala Proper,2019-02-07
1864,0.0002970068599097,Kurunegala Proper,2019-02-08
1865,7.523556172334847e-05,Kurunegala Proper,2019-02-09
1866,7.523556172334847e-05,Kurunegala Proper,2019-02-10
1867,0.0001297080667525,Kurunegala Proper,2019-02-11
1868,6.270259499786078e-05,Kurunegala Proper,2019-02-12
1869,8.990000185560485e-05,Kurunegala Proper,2019-02-13
1870,7.931416535107657e-05,Kurunegala Proper,2019-02-14
1871,6.0740207710781725e-05,Kurunegala Proper,2019-02-15
1872,0.0001501712095351,Kurunegala Proper,2019-02-16
1873,0.0001501712095351,Kurunegala Proper,2019-02-17
1874,0.0002017258506288,Kurunegala Proper,2019-02-18
1875,0.0002586245505792,Kurunegala Proper,2019-02-19
1876,8.79509593267587e-05,Kurunegala Proper,2019-02-20
1877,0.0001464546481548,Kurunegala Proper,2019-02-21
1878,0.0001375125401253,Kurunegala Proper,2019-02-22
1880,0.0002361983539606,Kurunegala Proper,2019-02-24
1881,8.145316466296842e-05,Kurunegala Proper,2019-02-25
1882,0.0001796735993672,Kurunegala Proper,2019-02-26
1883,0.0002322736580558,Kurunegala Proper,2019-02-27
1884,0.0002262031094414,Kurunegala Proper,2019-02-28
1885,0.0002262031094414,Kurunegala Proper,2019-03-01
1886,0.0002262031094414,Kurunegala Proper,2019-03-02
1887,0.0001259866889363,Kurunegala Proper,2019-03-03
1888,0.0001714544313468,Kurunegala Proper,2019-03-04
1889,0.0001342028527037,Kurunegala Proper,2019-03-05
1890,0.0001580027758568,Kurunegala Proper,2019-03-06
1891,0.0001892068657825,Kurunegala Proper,2019-03-07
1892,0.0001039425656943,Kurunegala Proper,2019-03-08
1893,0.0001568034910526,Kurunegala Proper,2019-03-09
1894,0.0001568034910526,Kurunegala Proper,2019-03-10
1895,0.0002545370341487,Kurunegala Proper,2019-03-11
1896,0.0001662309292288,Kurunegala Proper,2019-03-12
1898,0.000265097141989,Kurunegala Proper,2019-03-14
1899,0.0002519274524677,Kurunegala Proper,2019-03-15
1900,0.0001508674249008,Kurunegala Proper,2019-03-16
1901,0.0001988515444004,Kurunegala Proper,2019-03-17
