,HCHO reading,Location,Current Date
3652,0.0001908293886956,Nuwara Eliya Proper,2019-01-01
3653,0.0001908293886956,Nuwara Eliya Proper,2019-01-02
3654,0.0001908293886956,Nuwara Eliya Proper,2019-01-03
3655,5.0976259171277377e-05,Nuwara Eliya Proper,2019-01-04
3656,6.456645496655256e-05,Nuwara Eliya Proper,2019-01-05
3657,8.982348709518115e-05,Nuwara Eliya Proper,2019-01-06
3658,4.097797651418246e-05,Nuwara Eliya Proper,2019-01-07
3659,3.914670787137749e-05,Nuwara Eliya Proper,2019-01-08
3660,3.914670787137749e-05,Nuwara Eliya Proper,2019-01-09
3661,3.914670787137749e-05,Nuwara Eliya Proper,2019-01-10
3662,3.914670787137749e-05,Nuwara Eliya Proper,2019-01-11
3663,4.211950727039948e-05,Nuwara Eliya Proper,2019-01-12
3664,4.211950727039948e-05,Nuwara Eliya Proper,2019-01-13
3665,4.211950727039948e-05,Nuwara Eliya Proper,2019-01-14
3666,4.27055256923008e-05,Nuwara Eliya Proper,2019-01-15
3667,0.0001077155480912,Nuwara Eliya Proper,2019-01-16
3668,0.0001077155480912,Nuwara Eliya Proper,2019-01-17
3669,2.1021983917616697e-05,Nuwara Eliya Proper,2019-01-18
3670,3.5177822608346057e-05,Nuwara Eliya Proper,2019-01-19
3671,8.95718212363389e-06,Nuwara Eliya Proper,2019-01-20
3672,0.0001169623557084,Nuwara Eliya Proper,2019-01-21
3673,0.0001423180803672,Nuwara Eliya Proper,2019-01-22
3674,5.387086215710865e-05,Nuwara Eliya Proper,2019-01-23
3675,5.8914353326833725e-05,Nuwara Eliya Proper,2019-01-24
3679,0.0001509017772374,Nuwara Eliya Proper,2019-01-28
3680,0.0001841569476548,Nuwara Eliya Proper,2019-01-29
3681,3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30
3682,3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31
3683,7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01
3684,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-02
3685,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-03
3686,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-04
3687,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-05
3688,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-06
3689,8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07
3690,6.902842232093944e-05,Nuwara Eliya Proper,2019-02-08
3691,5.539429507152505e-05,Nuwara Eliya Proper,2019-02-09
3692,5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10
3693,7.972334424266592e-05,Nuwara Eliya Proper,2019-02-11
3694,7.972334424266592e-05,Nuwara Eliya Proper,2019-02-12
3695,7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13
3696,0.0001733092446862,Nuwara Eliya Proper,2019-02-14
3697,0.0001733092446862,Nuwara Eliya Proper,2019-02-15
3698,0.0001733092446862,Nuwara Eliya Proper,2019-02-16
3699,0.0001733092446862,Nuwara Eliya Proper,2019-02-17
3700,0.0001733092446862,Nuwara Eliya Proper,2019-02-18
3701,0.0002395688257623,Nuwara Eliya Proper,2019-02-19
3702,0.0001075724904002,Nuwara Eliya Proper,2019-02-20
3703,-7.767660943011708e-05,Nuwara Eliya Proper,2019-02-21
3704,-2.5037994831152824e-05,Nuwara Eliya Proper,2019-02-22
3705,0.0001895221819805,Nuwara Eliya Proper,2019-02-23
3706,0.0002737589225376,Nuwara Eliya Proper,2019-02-24
3707,0.0001235405797752,Nuwara Eliya Proper,2019-02-25
3708,0.0001235405797752,Nuwara Eliya Proper,2019-02-26
3709,0.0001235405797752,Nuwara Eliya Proper,2019-02-27
3710,0.0001235405797752,Nuwara Eliya Proper,2019-02-28
3711,0.0001235405797752,Nuwara Eliya Proper,2019-03-01
3712,0.0001235405797752,Nuwara Eliya Proper,2019-03-02
3713,0.0001477264081287,Nuwara Eliya Proper,2019-03-03
3714,0.0001477264081287,Nuwara Eliya Proper,2019-03-04
3715,0.0001477264081287,Nuwara Eliya Proper,2019-03-05
3716,6.384192250393643e-05,Nuwara Eliya Proper,2019-03-06
3717,0.0001673222246266,Nuwara Eliya Proper,2019-03-07
3718,8.084443465562647e-05,Nuwara Eliya Proper,2019-03-08
3719,6.543632959168698e-05,Nuwara Eliya Proper,2019-03-09
3720,6.543632959168698e-05,Nuwara Eliya Proper,2019-03-10
3721,6.152930957380892e-05,Nuwara Eliya Proper,2019-03-11
3722,0.0002626515739848,Nuwara Eliya Proper,2019-03-12
3723,9.745691103711994e-05,Nuwara Eliya Proper,2019-03-13
3724,9.745691103711994e-05,Nuwara Eliya Proper,2019-03-14
3725,0.0001547611296419,Nuwara Eliya Proper,2019-03-15
3726,0.0001265224542416,Nuwara Eliya Proper,2019-03-16
3727,3.81896059352209e-05,Nuwara Eliya Proper,2019-03-17
3728,3.81896059352209e-05,Nuwara Eliya Proper,2019-03-18
3729,3.81896059352209e-05,Nuwara Eliya Proper,2019-03-19
3730,-4.17166297978817e-06,Nuwara Eliya Proper,2019-03-20
3731,6.845485111101992e-05,Nuwara Eliya Proper,2019-03-21
3732,6.845485111101992e-05,Nuwara Eliya Proper,2019-03-22
3733,0.0001184572953092,Nuwara Eliya Proper,2019-03-23
3734,0.0002337061979083,Nuwara Eliya Proper,2019-03-24
3735,5.820339193343703e-05,Nuwara Eliya Proper,2019-03-25
3736,8.722993536189284e-05,Nuwara Eliya Proper,2019-03-26
3737,9.746027246583777e-05,Nuwara Eliya Proper,2019-03-27
