"city","country","pop2024","latitude","longitude"
"Colombo","Sri Lanka",648034,6.93194,79.8478
"Dehiwala-Mount Lavinia","Sri Lanka",219827,6.84019,79.8712
"Moratuwa","Sri Lanka",185031,6.773,79.8816
"Jaffna","Sri Lanka",169102,9.66845,80.0074
"Negombo","Sri Lanka",137223,7.2083,79.8358
"Pita Kotte","Sri Lanka",118179,6.8905,79.9015
"Sri Jayewardenepura Kotte","Sri Lanka",115826,6.88297,79.9071
"Kandy","Sri Lanka",111701,7.2955,80.6356
"Trincomalee","Sri Lanka",108420,8.5711,81.2335
"Kalmunai","Sri Lanka",100171,7.40902,81.8347
"Galle","Sri Lanka",93118,6.0367,80.217
"Point Pedro","Sri Lanka",89810,9.81667,80.2333
"Batticaloa","Sri Lanka",86742,7.7102,81.6924
"Katunayaka","Sri Lanka",84643,7.16992,79.8884
"Valvedditturai","Sri Lanka",78205,9.81667,80.1667
"Matara","Sri Lanka",76254,5.94851,80.5353
"Battaramulla South","Sri Lanka",75633,6.8964,79.9181
"Dambulla","Sri Lanka",66716,7.86,80.6517
"Maharagama","Sri Lanka",66576,6.848,79.9265
"Kotikawatta","Sri Lanka",64565,6.9269,79.9095
"Anuradhapura","Sri Lanka",60943,8.31223,80.4131
"Vavuniya","Sri Lanka",60176,8.7514,80.4971
"Kolonnawa","Sri Lanka",58076,6.9329,79.8848
"Hendala","Sri Lanka",56978,6.9909,79.883
"Ratnapura","Sri Lanka",47832,6.68278,80.3992
"Badulla","Sri Lanka",47587,6.9895,81.0557
"Puttalam","Sri Lanka",45661,8.0362,79.8283
"Devinuwara","Sri Lanka",45000,5.92825,80.5888
"Welisara","Sri Lanka",41306,7.0281,79.9014
"Kalutara","Sri Lanka",38000,6.5831,79.9593
"Bentota","Sri Lanka",37000,6.42598,79.9958
"Matale","Sri Lanka",36462,7.4698,80.6217
"Homagama","Sri Lanka",34664,6.844,80.0024
"Beruwala","Sri Lanka",34250,6.4788,79.9828
"Panadura","Sri Lanka",33735,6.7132,79.9026
"Mulleriyawa","Sri Lanka",33540,6.933,79.9297
"Kandana","Sri Lanka",33424,7.048,79.8937
"Ja Ela","Sri Lanka",32175,7.0744,79.8919
"Wattala","Sri Lanka",30725,6.98918,79.8917
"Peliyagoda","Sri Lanka",30717,6.9685,79.8836
"Kelaniya","Sri Lanka",28846,6.9553,79.922
"Kurunegala","Sri Lanka",28571,7.4863,80.3623
"Nuwara Eliya","Sri Lanka",25775,6.97078,80.7829
"Gampola","Sri Lanka",24730,7.1643,80.5696
"Chilaw","Sri Lanka",24712,7.57583,79.7953
"Eravur Town","Sri Lanka",22982,7.7782,81.6038
"Hanwella Ihala","Sri Lanka",22918,6.9012,80.0852
"Weligama","Sri Lanka",22179,5.97501,80.4297
"Vakarai","Sri Lanka",21000,8.13333,81.4333
"Kataragama","Sri Lanka",20935,6.4134,81.3346
"Ambalangoda","Sri Lanka",20133,6.2355,80.0538
"Ampara","Sri Lanka",18348,7.29754,81.682
"Kegalle","Sri Lanka",17962,7.2523,80.3436
"Hatton","Sri Lanka",15073,6.8916,80.5955
"Polonnaruwa","Sri Lanka",13900,7.93965,81.0027
"Kilinochchi","Sri Lanka",13006,9.3961,80.3982
"Tangalle","Sri Lanka",10497,6.02338,80.7974
"Monaragala","Sri Lanka",10236,6.8714,81.3487
"Wellawaya","Sri Lanka",10000,6.73694,81.1028
"Gampaha","Sri Lanka",9350,7.0897,79.9925
"Horana South","Sri Lanka",8982,6.7159,80.0626
"Wattegama","Sri Lanka",8000,6.7989,81.4808
"Minuwangoda","Sri Lanka",7772,7.1663,79.9533
"Horawala Junction","Sri Lanka",7500,6.48088,80.1271
"Kuliyapitiya","Sri Lanka",6877,7.4688,80.0401
